HH_NUM,SOCEC,CITY,PER_DESCcounter,CONFIGcounter,HOME_APPcounter,PETS_RECcounter,HH_INSTAcounter,HH_SIZEcounter,PER_NUM,AGE,SEX,REL_TO_HOH,WT_TYPE,DROPPED,PER_MIT,OCCUPATION,EDUCATION,UNIT_NUM,PROVIDER,CABLE_TV,PARA_ANT,sum[BW_TVCOLOR_TV],PROVEDOR_DE_CABLE,COLOR_TV,RADIO,TELEPHONE,SAMP_ST_D,N_PER
,,,,,,,,,,,,,,,,,,,,1,0,3,5,3,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,3,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,20230606,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,8
100012,3,1,2,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,1,52,1,1,1,0,1,3,7,,,,,,,,,,,
,,,,,,,,,2,33,2,3,1,0,2,2,6,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,1,211,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,0,0,1,6,1,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,3,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,20230605,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
100014,2,1,4,2,1,1,1,1,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,1,40,1,1,1,0,1,3,7,,,,,,,,,,,
,,,,,,,,,2,41,2,3,1,0,2,-1,5,,,,,,,,,,,
,,,,,,,,,3,11,2,4,1,0,3,1,2,,,,,,,,,,,
,,,,,,,,,4,7,1,4,1,0,4,1,2,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,1,211,,,,,,,,,
,,,,,,,,,,,,,,,,,,2,211,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,1,0,2,2,2,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,3,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,20230623,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
100016,1,1,4,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,1,59,1,1,1,0,1,3,3,,,,,,,,,,,
,,,,,,,,,2,53,2,3,1,0,2,2,3,,,,,,,,,,,
,,,,,,,,,3,21,2,4,1,0,3,1,4,,,,,,,,,,,
,,,,,,,,,4,24,1,4,1,0,4,3,5,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,1,211,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,0,0,1,1,1,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,3,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,20230628,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
100017,2,1,4,2,1,1,1,1,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,1,72,1,1,1,0,1,4,6,,,,,,,,,,,
,,,,,,,,,2,69,2,3,1,0,2,2,5,,,,,,,,,,,
,,,,,,,,,3,56,1,4,1,0,3,3,5,,,,,,,,,,,
,,,,,,,,,4,24,2,4,1,0,4,3,5,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,1,211,,,,,,,,,
,,,,,,,,,,,,,,,,,,2,211,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,1,0,2,3,2,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,3,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,20230628,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
100018,1,1,5,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,1,29,1,1,1,0,1,3,4,,,,,,,,,,,
,,,,,,,,,2,53,2,3,1,0,2,4,3,,,,,,,,,,,
,,,,,,,,,3,22,2,5,1,0,3,3,5,,,,,,,,,,,
,,,,,,,,,4,14,1,5,1,0,4,5,1,,,,,,,,,,,
,,,,,,,,,5,11,1,5,1,0,5,1,2,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,1,211,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,1,0,1,6,1,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,3,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,20230629,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
100019,2,1,4,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,1,52,1,1,1,0,1,3,6,,,,,,,,,,,
,,,,,,,,,2,46,2,3,1,0,2,3,3,,,,,,,,,,,
,,,,,,,,,3,21,2,4,1,0,3,1,5,,,,,,,,,,,
,,,,,,,,,4,31,1,4,1,0,4,3,5,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,1,211,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,1,0,1,3,1,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,3,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,20230629,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
100022,2,1,3,3,1,1,1,1,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,1,65,1,1,1,0,1,3,5,,,,,,,,,,,
,,,,,,,,,2,64,2,3,1,0,2,4,5,,,,,,,,,,,
,,,,,,,,,3,25,2,4,1,0,3,3,6,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,1,211,,,,,,,,,
,,,,,,,,,,,,,,,,,,2,211,,,,,,,,,
,,,,,,,,,,,,,,,,,,3,211,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,1,0,3,2,3,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,3,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,20230715,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
100023,1,1,6,2,1,1,1,1,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,1,63,2,2,1,0,1,3,1,,,,,,,,,,,
,,,,,,,,,2,33,2,4,1,0,2,3,2,,,,,,,,,,,
,,,,,,,,,3,29,1,4,1,0,3,3,2,,,,,,,,,,,
,,,,,,,,,4,14,1,5,1,0,4,1,2,,,,,,,,,,,
,,,,,,,,,5,12,1,5,1,0,5,1,2,,,,,,,,,,,
,,,,,,,,,6,25,1,5,1,0,6,4,3,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,1,211,,,,,,,,,
,,,,,,,,,,,,,,,,,,2,211,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,1,0,2,6,2,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,3,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,20230720,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
100024,2,1,2,2,1,1,1,1,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,1,68,1,1,1,0,1,4,3,,,,,,,,,,,
,,,,,,,,,2,64,2,3,1,0,2,4,3,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,1,211,,,,,,,,,
,,,,,,,,,,,,,,,,,,2,211,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,1,0,2,2,2,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,3,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,20230731,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
100025,2,1,2,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,1,69,1,1,1,0,1,3,6,,,,,,,,,,,
,,,,,,,,,2,56,2,3,1,0,2,4,5,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,1,211,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,1,0,1,2,1,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,3,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,20230729,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
100026,1,1,6,2,1,1,1,1,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,1,42,2,2,1,0,1,3,5,,,,,,,,,,,
,,,,,,,,,2,23,2,4,1,0,2,3,4,,,,,,,,,,,
,,,,,,,,,3,20,1,4,1,0,3,3,4,,,,,,,,,,,
,,,,,,,,,4,6,1,4,1,0,4,1,4,,,,,,,,,,,
,,,,,,,,,5,77,2,5,1,0,5,4,1,,,,,,,,,,,
,,,,,,,,,6,3,2,5,1,0,6,5,1,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,1,211,,,,,,,,,
,,,,,,,,,,,,,,,,,,2,211,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,1,0,2,5,2,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,3,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,20230729,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
100027,1,1,6,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,1,40,2,2,1,0,1,3,4,,,,,,,,,,,
,,,,,,,,,2,24,2,4,1,0,2,4,5,,,,,,,,,,,
,,,,,,,,,3,22,1,4,1,0,3,3,3,,,,,,,,,,,
,,,,,,,,,4,15,1,4,1,0,4,1,3,,,,,,,,,,,
,,,,,,,,,5,12,2,4,1,0,5,1,2,,,,,,,,,,,
,,,,,,,,,6,7,2,4,1,0,6,1,2,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,1,211,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,1,0,1,6,1,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,3,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,20230801,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
100028,2,1,3,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,1,64,1,1,1,0,1,3,4,,,,,,,,,,,
,,,,,,,,,2,52,2,3,1,0,2,4,7,,,,,,,,,,,
,,,,,,,,,3,20,1,4,1,0,3,3,5,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,1,211,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,1,0,1,5,1,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,3,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,20230804,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
100029,2,1,3,3,1,1,1,1,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,1,38,2,2,1,0,1,3,5,,,,,,,,,,,
,,,,,,,,,2,18,2,4,1,0,2,1,5,,,,,,,,,,,
,,,,,,,,,3,61,2,5,1,0,3,4,3,,,,,,,,,,,
